comment,rating
Products quality is very poor reten krna h but reten ka options nhe aa rha h why,1.0
"Worst Product, Don't Purchase This Product",1.0
Good laptop and good quality I am happy to buying this laptop,5.0
Nice Laptop. Value for Money.,5.0
Overall product is good as described and show. Lenovo should provide bag with laptops.,4.0
Good for normal use. Using for study purposes. Recommended for basic student requirements.,4.0
The charge didn't last long,3.0
Laptop is good but has .very low battery,3.0
Very basic laptop,2.0
"It's mentioned battery backup 8 hours, but laptop runs only 4 hour after full charge. They have mentioned overrated battery backup feature.",2.0
Send second hand after getting it opened after 2 year local show said it is used one and has been opened previously. In built ram is 4 gb only,1.0
I have received already installed windows laptop and also warranty had applied 3 months back.I think it is used one,1.0
Amazing Laptop with one of the best graphics card and processor.,5.0
Perfect money to power ratio,5.0
Samsung EVO 850 NVME M2. SSD does not detect in bios & system,4.0
Good to buy this as in least amount of money we can get every usual things with best performance. I recommend this product is worth to purchase.,4.0
Buying a laptop in this price and not even giving it's box with it what a shame atleast there should be it's box,3.0
Got it too much cheaper then usual,3.0
"Always the laptop is above 60°, when starting it's above 40.",2.0
"Trying to play Batman origins, which is 10 years old game and laptop is not even able to launch it.",2.0
Very good product,1.0
Heating problem and hang too often. Battery backup is below average.,1.0
speed is good. best professional laptop. handle big excel file easily.,5.0
Nice machine,5.0
Laptop is fine but fingerprint get accumulated on laptop and battery is little low,4.0
Happy to buy. Samsung can provide more feature to be more perfect.,4.0
There is no Product key for MS office . So MS office not working,3.0
"I think samsung need to fix sound quality, and should be improve.. lack of sound. All side good, slide heat..but it's ok",3.0
Experience the ultimate frustration with laptop's dismal speakers and slightly delicate body,2.0
Never ever buy. Value less. Get other laptops. Gaming or mi notebook ultra.,2.0
"My laptop,s keys are stop working in just 3months",1.0
Adapter stopped working during its first charge,1.0
Got good replacement cost for perfect purchase,5.0
All product good for this brand,5.0
"Laptop is good, display is not vivid and looks dull",4.0
Its a good choice for a business traveller light weight i got it in cheaper peice as i bought at sale,4.0
Got good replacement cost for perfect purchase,3.0
i am literally very disappointed with amazon service they misguide us and so many formalities more thn any government office to return my product,3.0
Prefer dell than asus,2.0
Pl take return refund my amount,2.0
i am literally very disappointed with amazon service they misguide us and so many formalities more thn any government office to return my product,1.0
Bad quality of display and battery getting drain out quickly,1.0
It is an excellent product.Good service,5.0
It is very good for student work like coding and editing.Processing and boot up was also very fast but display not good.,5.0
Battery backup not up to the mark,4.0
Good one display not good,4.0
Descrition stating Preloaded with Windows 11 & Office 11 incorrect as it needs to further subscribe every year.,3.0
Speed and size is excellent,3.0
All feature is good except Battery backup and camera quality.,2.0
Keyboard marks on new laptop screen. Not satisfied with this 😶,2.0
Laptop speaker is not playing with good sound effects,1.0
Do not buy this product from this seller,1.0
"Laptop condition is new jaysa he ,performance is ok and battery back up is good but body part not original but new.",5.0
"Good laptop recieved with all in working condition, all speaker, camera wifi keypad mic working and and specifications as mentioned",5.0
"Very good condition laptop, and working speed is good.",4.0
It's a refurbished product though it's in good quality. Works well. Thank you for the product.,4.0
Very nice product,3.0
I have received a defective product and I have return and the Amazon has provided my refund money with good service,2.0
"Laptop didn't start when unbox it, don't buy",2.0
Mother board seems getting heated up even though it comes with a cooling pad. It's still under warrantee. I am placing a request for pickup,1.0
Bad service. The adapter cable is not compatible. This item is sent without checking. Amazon this is poor service.,1.0
"This laptop is fast, smooth, display is not decent. After using some graphics software like photoshop it heats a little. Battery life is decent. Overall it's a amazing laptop with good build quality. It is worth buying for sure....",5.0
"Sleek design, Fast boot up smooth working experience",5.0
Battery backup is low.. Other all are fine,4.0
Biggest Cons is The Weight Too Heavy Other Wise Every thing is Pros,4.0
Display is not so good at the angle of 45 degree the screen looks black and audio is not loud enough overall good laptop in 28000 to 30000.,3.0
Display is very bad,3.0
Laptop sound quality is very bad,2.0
OS key not provided with product as committed for free installed OS on this laptop.,2.0
Stuck in restart SSD/Motherboard is corrupt in 14th day,1.0
"Such a pathetic laptop, stopped working in less than two months, with absolutely no heavy usage. Have to take it to service centre.",1.0
"Awesome speed, appearance, value for money",5.0
Excellent Laptop Super fast,5.0
I am using the laptop since 29th January... No issues found till now... It's an awesome buy,4.0
Smooth product,4.0
Keyboard light and finger print scanner facility is not available3,3.0
Battery charge retain is very poor.,3.0
It is good to use for 1 to 2 hour work. It has big heating problem. So don't buy this.,2.0
"Not available, Fingerprint, backlit keyboard",2.0
a bad product ... purchased the product in aug 2023 ... the pasting around the screen has come off in march 2023 ... the product is within warranty ... please advise,1.0
Before I'm buying I will check finger print and face recognition available on your product description today I'm recieved no fingerprint and no face recognition on the laptop,1.0
Good product. All are perfect. No issues,5.0
"This product is really nice, with less heating issue.",5.0
"Received the product on the promised date, but there is no type C slot which was mentioned in the description. And also didn't like the packaging. It was shaking inside, and the box was torn from the other side. Overall product seems promising",4.0
Very bad. No support also provided,1.0
"First day heating issue,only 3-4 tab crome browsing it is heating ,below avg laptop,dell is not improving the service.I m using core 2 due that is also not heating but it is 12th gen it is heating.",1.0
This laptop is best and in buget for internet surfing and for basic office work. Don't expect more in this budget. For Audio related please issue install proper driver.,5.0
Look like MacBook and Lightweight with Soft Software Working Also All Is Excellent for this PC.,5.0
This good leptop working good 😊,4.0
Very light weight and design like apple.,4.0
The Product is defective. The Audio & Microphone device has not been installed in the product. Even Amazon's Services Expert unable to rectify the problem.,3.0
"Laptop very slow but ease of use speed, charging always ok",3.0
The product becomes hot very Quickly and the support doesn't respond,2.0
Not working properly often facing problems with the laptop. Can't place conferencing call on the laptop,2.0
Very bad .. product defective.no sound in laptop.company sending items without checking..,1.0
"I have 5 leptops but this is only one without sound leptop in new condition wow, Sorry to say but pllz plzz dont purchase this leptop, total waste of money,",1.0
"Excellent, very protected at the time of delivery. The battery is very durable and because of its low RAM capacity it has good fluids.",5.0
Good quality 💯,5.0
The product works great and without any problems I was able to move the stuff over to the laptop without anything disappearing,4.0
2V/3A adapter with cable not received.,3.0
"I don't recommend it, after 3 months of use when logging in, an error comes up, low capacity, it serves to give it little use, if it doesn't get saturated.",2.0
Laptop open then one side full hiting very bad prodect,1.0
"Amazing product,very useful",5.0
"Value for the money, good service.",5.0
Some minor scratches and it's ok for refurb laptop. Working fine.,4.0
Good service but some scratches,4.0
Everything fine so far. Need to use for sometime to review performance,3.0
The laptop is not working very slow some times it doesn’t on the touchpad is not working whole laptop is not working only looks good on outside,1.0
This is Chromebook not a windows laptop so totally wast of money if bay this laptop.,1.0
only internet based work can execute on this laptop,1.0
Must buy it... amazing fantastic ever ever,5.0
Happy to buy this product at this price.,5.0
Nice budget laptop,4.0
The camera is very disappointing,4.0
I liked everything except battery. Its getting discharged very fast even after I use for half an hour.,3.0
My LAPTOP IS HEATING ISSUE,3.0
"Cannot play games with not so high graphic card requirements. Considering this, Price is set to be very high",2.0
This laptop comming with right calculater which not required size also big. Do not take gold colour fonts are not visible if take gold colours.,2.0
Very pathetic product and service. Specially laptop screen and other parts are very fragile.,1.0
Laptop have no any MS office inbilt and very slow working many time off hone ke baad on he nahi hota hai...,1.0
Nice product using last six month. No any problem working smoothly no issue,5.0
Good performance budget for money,5.0
"overall product is good, little bit noisy some time ,I want to have 180 degree or 360 degree foldable laptop but this feature is not included in this product battery life is good for me maybe cuz I'm not performing heavy task.",4.0
"Performance and battery backup good ,camera is average",4.0
Display quality not much good and keyboard is also not strong as described. wastage of too much money.,3.0
Nice laptop from hp but camera quality is not good performance is super.👍👍👍,3.0
Build quality and battery performance is poor.,2.0
What they mentioned about back up is wrong..it's hardly one hour to one half hour back,2.0
"I purchased new HP 15s laptop, It came with expired warranty.",1.0
I was purchased recently hp laptop but received defective product from amazon and my problem was not solved amazon team,1.0
Chrome book is best for students and basic usage person,5.0
Good Laptop in this price its really good,5.0
Nice product.,4.0
"Printer not supported, biometric machine not supported",4.0
After using 2 months ..it's battery backup is 5 hour,3.0
The product is good but the picture quality is what I didn't like. It gives me a feeling as if I'm looking into an old plasma screen.,3.0
"My suggestion please don't buy this product because they are showing the SD card port in images but in product there is no port to insert SD card it was really worst thing which i never expected from reputed company like HP. also Screen quality is average. Also received product with OS corrupted. Mainly it is very difficult to connect with customer service no one is giving proper resolution. So finally I done with my own, HP please don't cheat if yo or not able to provide such options in product please clearly don't upload this kinds of images on the product description.",2.0
"Whenever I put my chromebook on standby it disables my integrated keyboard and if I pause any video with my Bluetooth headset connected, it disables my headset.",2.0
Speed is very low of network connectivity,1.0
Chrome book bad defolt i request return & my amount but not solve this problem fake service Amazon shopping app,1.0
Awesome product with right price. Dleek design and powerful performance.,5.0
Lenovo products are awesome must buy for everyone,5.0
"have to pay for office, antivirus, battery backup is around 5 hours, touchpad is good , slim and beautiful design, slow processing",3.0
Look is good but very slow,3.0
All are good but no RAM Slot available.,2.0
And given 4 GB Ram is solderer with motherboard. So it's not good at all.,2.0
The lappy is performing extremely slow even on normal browsing usage. Waste of money. Regretting ordering this.,1.0
I purchased on 13 June 2021 working properly but after 13 months ic worn out service centre said 15k above price for ic. I really disponted because if I m spend 30k for someone product atleast work Paisa vasul but can't,5.0
Good performance,5.0
"Good performance. Total 2 laptops, I bought this model. Both working good for 4 months and last 15 days respectively. Thanks a lot.",4.0
"Nice product, low weight. Value for money. Good in all aspects.",4.0
"Smaller than in picture. After two months, the system has become slow. Though i donot have much files. If you have too many files, not recommendable.",3.0
This is not the product as described. It also has heating and hanging problem,3.0
Wrost laptop under30000 dont buy it at all doesn't even work like laptop its having 8gb ram still words i type are coming on screen after5 sec,2.0
product is good but Amazon delivary and Custmer helping is very bad I have prime member than no sutisfying help he's cheating with me,2.0
This laptop is too slow..how to fix this issue..can you pls help??,1.0
The system is very slow. one clicks takes so much time. Please don't but this,1.0
It is a good laptop and i had been using it for more than a month.,5.0
"Excellent product, do not spend on trademarks Dell, HP, Lenovo, etc., most have HD screens and are what leaves EU and the European Union, sell us what is left over, this equipment is very worth it, see reviews on Youtube, they are true",5.0
"Only Sound quality is bit low but otherwise everything is fine, FHD display, screen size , configuration all thing is good as expected",4.0
The first impression is of feature rich and latest processor model. Ideal for everyday normal users.,4.0
This laptop has the WORSE battery of any electric equipment I have ever owned.,3.0
An alright laptop if you need one but trying to play a game on it it keeps crashing. So sending back since what I want to do with it doesn’t work.,3.0
"i have only had this computer for just a year, i have had issues with this laptop in which the wifi card went bad and now it will not power on at all",2.0
"If you plan to install Linux, there are no great audio or video drivers, so you’ll experience some screen flickering and the audio features simply won’t work. Bluetooth, WiFi, keyboard, and trackpad work. It’s functional, but not great.",2.0
The product arrived with a burned screen and a dead pixel,1.0
"The product was good for the price at first but the next day the keyboard didn't respond, it got stuck and it overheated so it wasn't worth it for me.",1.0
"Very good laptop in this price range, everything is just perfect, display, speed, sound quality..",5.0
Excellent Product Worth Buying Best at this Price 8 Hours Battery Backup Excel is compatible I am using for my Excel work net browsing,5.0
"It’s a mini no nonsense lappie. Don’t expect to run high end games. Good for basic operating, videos and music. Form factor is nice but screen quality isn’t top notch. Cannot be charged using usb 3.",4.0
Budget friendly laptop for students. Thank u Amazon 4 providing such a great deal and product....,4.0
Very good product in low price. Thank you Amazon.👍,3.0
"When product was registered on 12th of Oct 22 in official website, the manufacturer has given only 5 months warranty only, not one year. I have doubt about this product is renewed one or a new product. Usually new product comes with one year of warranty.....🙆🥵",2.0
"Microsoft read only version is provided,we need to pay for buying full version.",1.0
"Don't buy, overheating issues",1.0
It has good performance and I like that Jio Store provides access to lots of apps. Audio & video quality is also nice. Good laptop in this price point.,5.0
Just keep your expectations practical and enjoy !,5.0
"Value for money.. The features are nice we can download chrome and MS office also, but MS office is the version that we have in our phones but for schools the Windows version comes in exam. So, this was an Issue.",4.0
Home use for viewing mails and browsing,4.0
This laptop is very good for mobile users,3.0
"Everything is good, good one for kids, but jio book introductory carry bag was missing. How to get that?",3.0
"This product is not good even for students , students will not take and use it .",2.0
Google android app not working properly,2.0
Worst Laptop ever. It doesn't run even basic apps Ms Word / Notepad / Paint. It doesn't save screenshots. You cannot upload images on Facebook / Twitter. It's only good for Emailing & Watching Movies - Netflix/Prime etc.,1.0
I want to return this product. I have kept the product safe and unused. Kindly help. I am not getting a return option.,1.0
Great Laptop... Look Awesome Great features and Price in budget range..... i really love it.,5.0
Overall quality and performance is very good,5.0
Very Nice Build Quality and Affordable Price…….. When i ordered i have doubts that i have taken a risk of about 40k on this laptop but it is very nice and hope it goes well also…..Only con is no backlit keyboard,4.0
"Processor is very good batty is working 4-5 hrs , sound quality is good , 1 thing i notice there is no keyboard light but according to the budget its very Good",4.0
"Configuration wise it's good to buy comparing to other brands. Battery, Speed, speakers, C type Charging everything fine. But the fingerprint sensor not all working properly. Frequently Getting error in sensor. Always setting again and again. After setting again i m getting error. That's the major issue.",3.0
I bought it on november.,3.0
Positives: display and sound is better. no lag. better experience on 5g.,3.0
"The build quality is good, but the laptop that I bought heated up too much from day 1 and even the brightness of the screen isn't upto the mark.",2.0
I am getting current shock while charging the laptop worst product,2.0
"Very poor quality laptop. Trusted on Indian brand but got cheated. Only two months gone display is not turning on. Please skip this laptop buy trusted barnds laptop like hp, lenovo and dell",1.0
No battery backup its getting heated while operating and many more issues are there,1.0
"very handy, durable. nice display. boots fast . screen rotates well on changing to tablet mode. loved buying it.",5.0
Excellent product at this price point.Other brand laptops with either same or less features are selling at double the price at which freebook is available,5.0
"The Budget Surface, but battery performance is very poor and Heating issue.",4.0
Best in class but only battery time 4 hrs.,4.0
"I don't have the manual, and I can't activate the license.",3.0
"If you think about the price, I have no complaints. Within expectations!",3.0
"It came with electricity leakge while charging, amazon technician comfirmed the same and then he went on and marked it as resolved made me double headache,",1.0
"The laptop is not powering on. , with black screen. I need immediate support",1.0
Best choice for windows lovers,5.0
"Awesome product!! The sound was a bit problem but you can increase by enabling Dolby Atmos, and the battery was also less than expected but after exploring some of its settings now it gives 8 hrs+ on normal usage !!! Good products! Especially very light weight !!!",5.0
Samsung galaxy products are always 👌,4.0
Good Laptop,4.0
"Screen aspect ratio is bad and hence the machine looks too small to work continuously. Feels flimsy as well. 1 year warranty on a 1 lac rupees machine is tooo tooo less. Any problem post one year, money goes to drain. Hence canceled the order after physical inspection at nearby mall.",3.0
I went to a samsung store here in DLF Noida. This thing heats up built quality and screen is awsome but this will heat so stay prepared.,3.0
Cheap colour quality at this price and heating issues. I am using this from more than last 3 months and i am not satisfied.,1.0
"No hhd ,even SSD is also very less, only basis of ram we can't do anything In this and more ram,then you can view thewindow but you enable to do",1.0
"Very smooth and great performance and light in weight, only one issue speakers are on bottom so that effect the sound otherwise go for it.",5.0
"Happy with overall performance after 1 week of usage, after fine tuning performance is top notch",5.0
It’s lightweight and has good screen resolution. The problem is that the speakers are placed at the bottom and volume is low. Battery is okay,4.0
"Laptop is awesome for this price range and fast in designing and editing works, But speaker is very worst.",4.0
"Build quality not good, looking like a awesome",3.0
Although it's a good product but according to the price Refresh Rate is very Low and also other things are also not that good according to the price.,3.0
"There is cracking sound coming from the hinges staring from opening for the first time. It is plastic covered over the hinges which makes sound. Very bad experience. Please do not buy this laptop, not going to last for long for sure.",2.0
Hardware is good but laptop sound is very less. You must always carry a headphone if you want to talk or watch videos.,2.0
system is overheating and has touch issue with ghost touching. not allowing to use the laptop,1.0
Extremely poor audio… no response from Amazon. A person came and says it is system built and nothing can be done. Donot buy… poor resposne from Amazo’s,1.0
"Best laptop, Display is good and looks premium. Very slim and light weight. A bit expensive.",5.0
Value for money in this price range and it is multitasking product. Display quality and performance are superb. Buy it in offer time,5.0
Everything is excellent except that it doesn't have Google Play store which is something i was expecting.,4.0
"Samsung Galaxy Book3 360 Intel 13th Gen i7 EvoTM 39.6cm(15.6"") Super Amoled 2-in-1 Touchscreen Laptop (16 GB/512GB SSD/Windows11/MS Office)",3.0
"Of comitted 18 hours battery life, I rarely get even 4 hours.",2.0
Better to buy with croma and other retailer or look on samsung,2.0
This laptop's screen is so brittle that it can break with minimum touch even the laptop charger if put on top of it can break or scratch it. Samsung needs to make design and screen changes for this considering it's expensive price. As of now this is not recommended at all.,1.0
poor quality laptop. don't buy this from official online store. you will get defective items. I don't understand what they are doing,1.0
Good laptop,5.0
Laptop very nice and prosesor 1235u loo hai,4.0
"The product is good, has all latest features, but battery backup is poor , just 2-3 hours , and zenronics service center team won't even accept that battery are getting drained soon , they won't even replace the product..so think before buying",1.0
"Working super, till the day, no issue with device, few marks of previous use but acceptable. Performance of battery is good , working all the ports and keys.",5.0
I started using this laptop for office admin work and is very efficient and very good product. i am satisfy with this product.,5.0
Initially the laptop had some issues but it was replaced with a new system but the time taken for redelivery was very long almost 1.5 months I got my laptop back but the new laptop is very good working great untill now🤝,4.0
"I like the product, they having supporting",4.0
I have used the same model before but when I purchased this product i found very poor-quality of battery life. this is getting hanged again and again. it is becoming quite slow in while working.,3.0
"I have bought Dell Renewed Laptop, Charger is burned after one days, there is no support, Customer support given a Dell Service Number, they are telling first you have to go for ownership transfer registration , I have done but after two week there is no response from ownership transfer registration dept",3.0
Dell laptop out side corner X Cross cut mark and sound is not Coming clear and all part scratch laptop,2.0
Adaptor of laptop charger is very poor quality not changing after 3 months,2.0
Product quality is good but there is no MS office and also window 11 is not installed,1.0
I am using this for trading purpose and the laptop is fine only if Backlight keyboard was available and delivery was too long. otherwise it's fast machine 16 gb ram is awesome,5.0
I BOUGHT IT FOR ACCOUNTING PURPOSES. WORKS SMOOTH . NO PROBLEMS AT ALL,5.0
"As I used over 3 month, all features are quite good, it would be much better if have free MS office.",4.0
Good,4.0
battery life only 2.5hrs sometimes 4 hrs maximum.,3.0
Very nice looking and very good performance laptop and good looking...but I m received my laptop so no Few Charge so I m Sad for batter low condition,3.0
Not value for money.,2.0
"Hard disk currepted after one month, luckily replaced by Acer team. But volume and display changed after os installation.",2.0
"Recived this product with under side screws in distorted condition , seems like someone has opened it. Amazon can't be trusted anymore. I recommend don't buy expensive things on amazone. Also the body of laptop doesn't feel like metal, I think it is plastic with metal color coating.",1.0
"Worst product, never ever buy it. Only in four months its ssd and motherboard have malfunctioned. Also service centre have not repaired the laptop for past one month. They are saying acer is not supplying the parts. Never ever buy this product. Waste of money",1.0
I purchased in EMI and i received very good condition ❤️💖☺️,5.0
The vents doesn't let it heat fans are powerful yet noisy.Processor is good can handle heavy tasks. Won't except much from the battery hardly runs for 1-1.5 hours if used efficiently can be improved. Overall a good package.,5.0
I would suggest people to buy laptopwith RTX4050 since it performs similar to RTX3060 even if it's expensive than 3050 buy it. This has thunderbolt 4 where you can upgrade your gpu in future if you can though. Camera is like old button phone but speakers are heavy.,4.0
Build quality was not good and not up to the mark,4.0
"Only drawback is that the variant is 12450H instead of 12500H , felt like scam because was expecting 12500H. Rest everything works like a charm.",3.0
"Laptop is good. But amazon delivery is pathetic. Rude behaviour, delays, cheats...",3.0
The plastic above the hinge was popped out at the time of delivery and the processor is 12450H rather being 12500H,2.0
"ONLY ONE MONTH USED, LAPTOP NOT CHARGING AND NOR OPEN",2.0
I had recieved a defective product which has screen bleeding issues post an hour of usage,1.0
I bought it 3 times. 1nce 16gb variant and 2 times 8gb but they delivered 12450h model.,1.0
"The Ideapad Slim 5, is a high-quality laptop, perfect for office use. It boasts excellent features, including i5, 16GB of RAM and a 1TB SSD. The speed is impressive, making it a strong recommendation for anyone in need of a reliable work companion.",5.0
"Superb performance, slim, comfortable design and size. Totally worth the price.",5.0
Superb laptop for heavy works but speaker sound is too low,4.0
Its very nice laptop. I got this as I needed Thank u so much Amazon,4.0
"I really liked all the features with this. But i am really annoyed with the poor Battery Back Up. And one more thing is that i couldnt find or install Alexa, which is written in the short description.",3.0
"Laptop is heating too much, when contacted Lenovo service they never response back after sending the hardware report. Not expected this kind of service",3.0
Its been a month after I got this laptop. The charger is not working. When I connected to customer support they asked me to send photos. After that no response from them.very worst. How the charger is not working in new laptop.,1.0
"These Lenovo IdeaPad series has built-in manufacturing defects. It's screen start coming out and impact Hinges even leas to screen breakages. Humble request all not to buy these models. Feel cheated after spending over 65k and end up having this recurring issues. And worst part for customers, this problem will start exactly after completion of 1 year when warranty period ends. Don't buy and of this IdeaPad models... Beware...",1.0
Good quality and worth for the money paid.,5.0
Everything was perfect and i see a white horizontal line out of nowhere on the screen today. Im preety sure i havent cuz any damage to it,5.0
It's a beast at its price point compared to other laptops. With 16gb ddr5 ram and 512 GB gen4 SSD. Rtx 3050 4gb ddr6 GPU. No other brand is giving this much at this price point,4.0
"Working smoothly up to now. The only issue is with the battery life as it is relatively low. But I don't consider this as a major issue as from what I have researched, this is a common issue among gaming laptops.",4.0
